review_text,true_label,Predicted Label,type
Infotainment is snappy! No lag when switching between apps. Great job BYD. 🚀💻,positive,positive,byd
"Buttons feel loose at times, minor quality issue 😑",negative,negative,byd
"The ""Atto 3 Ultra"" branding is a bit confusing. Is it better or just cheaper? 🧐🚙",neutral,neutral,byd
Charging slower than home at public stations 🔌,negative,negative,byd
Car feels lightweight yet solid 🚗 control = amazing,positive,positive,byd
"Great value for money. For RM123k, you get a full EV with all the bells and whistles. 💰🏆",positive,positive,byd
"BYD interior layout modern, EMAS outdated",positive,positive,byd
"Atto 3 Ultra at RM123k is basically a ""middle finger"" to all the early adopters who paid RM167k. 🖕📉",negative,positive,byd
V2L is the best feature. Used it to power my Steamboat during camping. Everyone was jealous! 🍲⚡️,positive,positive,byd
"The ""Emergency Lane Keeping"" pushed me towards a concrete barrier. I had to fight the wheel. 🧱😰",negative,negative,byd
Interior lights at night are beautiful. Feels like a premium lounge. 🌈🛋️,positive,positive,byd
Wireless Apple CarPlay is finally stable on the 2025 firmware. No more random reboots. 📱✅,positive,positive,byd
"Overall BYD Atto 3 is fire, can’t imagine going back to petrol",positive,positive,byd
Driver assist kinda sus sometimes 😬 need full attention,negative,negative,byd
"BYD rear camera clear, Vios camera small",positive,positive,byd
"Fun acceleration, highway overtakes feel effortless",positive,positive,byd
Friends always ask for a ride 😆 flex without flexing 😂,positive,positive,byd
My 12V battery died exactly at the 20-month mark. It seems to be a common curse for the early Atto 3 batches. RM450 lesson learned. 🔋💢,negative,negative,byd
The seats are surprisingly comfortable for long journeys. No backache after 4 hours drive. 🛌🛣️,positive,positive,byd
Ventilated seats in the Atto 3 Ultra are much colder than the ones in the Chery Omoda E5. ❄️💎,positive,positive,byd
Used the car to power my house lights during a blackout. V2L is the real MVP. 🏠⚡️,positive,positive,byd
BYD is basically the Tesla of China. You can't go wrong with the market leader. 👑🥇,positive,positive,byd
Driving in Eco mode is too slow. Normal mode is the sweet spot for me. 🐢➡️🐇,neutral,positive,byd
Just used V2L to power a coffee machine at a roadside picnic. People were staring like I'm from 2050. ☕️⚡️,positive,neutral,byd
5-star Euro NCAP rating is the main reason I bought it for my wife. 🛡️👩‍👧‍👦,positive,positive,byd
"Ride stable over small bumps, passengers chill",positive,positive,byd
"Atto 3’s interior might be ""funky,"" but the build quality is solid. eMAS 7 already has people complaining about rattles. 🏗️✅",positive,positive,byd
Sun glare through panoramic roof distracting at times,negative,negative,byd
"Headlights are bright, but the auto high beam is stupid. It blinds oncoming drivers. 🔦😵",negative,negative,byd
"Battery last long, can do KL–Ipoh trip no stress ⚡",positive,positive,byd
"Some plastics inside feel cheap, not premium 😕",negative,negative,byd
My sunroof sunshade is stuck halfway. Why is this such a common problem? ☀️⚙️,negative,negative,byd
"Driver assist not reliable on sharp turns, must control manually",negative,negative,byd
My key fob battery died in 6 months. Quality of the accessories is quite low. 🔑🔋,negative,negative,byd
Road noise noticeable on highway 😭 feels cheap,negative,negative,byd
"Steering light, city lane driving feels effortless",positive,positive,byd
"Steering feels light and easy, good for city traffic",positive,positive,byd
"""AC airflow weak at back, my kids complain during hot afternoon.""",negative,negative,byd
"Rear wiper smears water, ineffective 🌧️",negative,negative,byd
"The door sensor recall/fix better be permanent. I don't want my car to ""brick"" in the fast lane. 🛠️🤞",neutral,negative,byd
Managed to drive KL to Melaka and back on one charge. EVs are perfectly fine for day trips! 🗺️🔋,positive,positive,byd
"Cabin quiet BYD, EMAS engine sound distracting",positive,positive,byd
8-year drive unit warranty is the best in Malaysia. Peace of mind is worth everything. 🛡️🏆,positive,positive,byd
"Steering BYD precise, Vios clunky",positive,positive,byd
"Seats supportive, no back pain after long drive",positive,positive,byd
Why is the 2025 version still using a 1-phase 7kW charger? Everyone else is on 11kW or 22kW. 🔌🐌,negative,negative,byd
Car slower on steep hills than expected,negative,negative,byd
Auto-parking feature is a gimmick. It’s too slow and panics when there’s a biker nearby. 🅿️🚴,negative,negative,byd
"Zero range anxiety after getting a wallbox. Wake up every day with a ""full tank."" 🏡🔋",positive,positive,byd
Can finally do all errands without worrying about gas ⛽ #blessed,positive,positive,byd
Rear legroom is better than my old CR-V. My kids have so much space. 🧒🚙,positive,positive,byd
"Regenerative braking is too mild even on ""High."" I want one-pedal driving! 🛑🦶",negative,negative,byd
Rear legroom is massive! My tall friends can actually sit comfortably in the back. 🦵🛋️,positive,positive,byd
"Steering BYD comfortable, EMAS heavy in city",positive,positive,byd
"Used car dealers offering me peanuts for my 2-year-old Atto. The depreciation is real, guys. 🥜📉",negative,negative,byd
Blue and cream interior is beautiful but high maintenance. One drop of coffee and it's over. ☕️💀,neutral,positive,byd
"""Driver assist can confuse sometimes, need full attention lah.""",negative,negative,byd
"AC weak at back, kids complain during hot day 🥵",negative,negative,byd
V2L allows charging gadgets on the go conveniently,positive,positive,byd
"The car sometimes refuses to lock if your phone is still inside. Smart, but annoying. 📱🔒",neutral,negative,byd
AC barely cools 🥵 huge oof in summer,negative,negative,byd
"The ""Check OBC"" light turned off by itself after I restarted the car. Still scary. 👻🔌",negative,negative,byd
V2L is the ultimate backup plan. My fridge stayed on for 6 hours during a power outage. 🧊⚡️,positive,positive,byd
"BYD charging easy at home, Vios still petrol pump",positive,positive,byd
"Brake feel is a bit ""mushy."" Needs a firmer pedal for more confidence during high-speed stops. 🛑🦵",negative,negative,byd
"The ""Build Your Dreams"" logo on the back is so cringe. First thing I did was debadge it. 📛✂️",negative,neutral,byd
"Battery BYD reliable for highway trips, EMAS petrol guzzle woi",positive,positive,byd
"Charging speeds drop to 30kW after 80%. Just leave once you hit 80, don't wait! 🔌⏳",neutral,negative,byd
"""Check OBC System"" error popped up at the Gentari charger. Had to reset the car twice to get it to start. 🔌😤",negative,negative,byd
"The ""Automatic Wipers"" are either too slow or too fast. Never just right. 🌧️🙄",negative,negative,byd
PM2.5 filter in the BYD is certified medical grade. Essential for KL's bad air quality days. 💨🌲,positive,positive,byd
Steering precise on highways 🚗 smooth drive,positive,positive,byd
Love the ambient lighting that pulses with the music. Makes every night drive feel like a party. 🎶🌈,positive,positive,byd
420km WLTP is honest. I get 350km real world driving normally. Perfect for city life. 🏙️🔋,positive,positive,byd
"Seats firm yet comfy, perfect for road trips",positive,positive,byd
"AC airflow uneven at back, uncomfortable 🥵",negative,negative,byd
"""Rear wiper not effective in heavy rain, need manual wipe sometimes.""",negative,negative,byd
Atto 3's ground clearance is just right. High enough for flash floods but low enough for handling. 🌊📐,positive,positive,byd
My radio keeps turning on by itself at 3 AM. Is my car haunted or just a software bug? 👻📻,negative,negative,byd
Used car dealers are lowballing me. Offering RM80k for a 1-year-old car. Total disaster. 💸📉,negative,negative,byd
"Steering easy and light, effortless around town corners",positive,positive,byd
"It’s a Chinese car, but the build quality is better than some Japanese brands nowadays. Solid. 🇨🇳💪",positive,positive,byd
"RM123k for the Ultra is a total game changer. I was looking at a used HR-V, but why bother when I can get a brand new EV with an 8-year warranty? 📉🏎️",positive,neutral,byd
"Handling smooth, ride plush 😎 feels premium fr",positive,positive,byd
The Atto 3 feels more agile in corners than the heavier eMAS 7. 🏎️🌀,positive,positive,byd
"The ""Acoustic Glass"" doesn't do much for the tire roar on rough bitumen roads. 🌬️👂",negative,negative,byd
Best sound system in any car under RM150k. The 8 speakers are punchy and clear. 🎵🔊,positive,positive,byd
"The ""Aussie Salute"" indicator sound makes me smile every time. It's the little things. 🐦🎶",positive,positive,byd
"Storage spaces small, inconvenient for daily use",negative,negative,byd
"360 camera with ""transparent floor"" mode makes parking over curbs so much easier. 📸📐",positive,positive,byd
I prefer the Atto 3's rotating screen. It’s perfect for vertical apps like TikTok while waiting for a charge. 🔄📱,positive,positive,byd
"AC is freezing cold even in this heat. Typical BYD, they know the tropical weather well. ❄️👍",positive,positive,byd
It's basically a smartphone on wheels. My kids love playing games on the big screen. 🎮📱,positive,positive,byd
"Touchscreen responsive, easy to adjust settings 📱",positive,positive,byd
Transitioning from petrol to EV was so easy with the Atto 3. It feels like a normal car. ⛽️➡️🔌,positive,positive,byd
BYD's service network has 25 centers dedicated purely to EVs. Proton centers are still mostly for X50/S70. 🛠️🏢,positive,positive,byd
"""Interior quality quite good, seats comfortable for longer trips.""",positive,positive,byd
"""Some interior plastics feel cheap, not what I expect for this price.""",negative,negative,byd
"""Ultra"" package with the free wallbox and V2L cable is an insane value. RM10k worth of freebies. 🎁💰",positive,positive,byd
"Rear AC airflow weak, kids complain during hot day 🥵",negative,negative,byd
"Acceleration playful, highway overtaking fun",positive,positive,byd
"Plugged in at home overnight, charged 100% 🏡 super convenient",positive,positive,byd
Service center is always full. Need to book 2 weeks in advance. 🛠️📅,negative,negative,byd
"The ""Ultra"" branding is just marketing. It’s just the Extended Range with a new name. 📛🚙",neutral,neutral,byd
"Best infotainment screen in the business. Super bright, super responsive, and no lag at all. 🖥️⚡️",positive,positive,byd
Car feels sluggish on steep inclines,negative,negative,byd
"The steering wheel is a bit too small. Feels like a toy, not a 1.7 ton SUV. 🎡🧸",neutral,negative,byd
"The new ""Cosmos Black"" paint is a dust magnet but looks so boss when it's clean. 🌚✨",positive,positive,byd
Door handles are unique but guests never know how to open the door from inside lol. 🚪🤔,neutral,neutral,byd
The automatic wipers are either too fast or too slow. Never just right. 🌧️🙄,negative,negative,byd
"Driver assist is sus fr, had a close call on the highway 😭",negative,negative,byd
Noise from tires on wet road noticeable 🌧️,negative,negative,byd
AC vents weak on passenger side,negative,negative,byd
"BYD ambient lighting aesthetic, Myvi interior basic af",positive,positive,byd
"Driving assist helpful in traffic, makes stop-and-go easier",positive,positive,byd
"Rear seats fit 2 adults comfortably, perfect for trips",positive,positive,byd
RM118k with the rebate? That’s cheaper than a Honda City RS. BYD really chose violence in 2025. 💀🔥,positive,positive,byd
Cabin space enough for weekend luggage or groceries,positive,positive,byd
PM2.5 filter is a lifesaver during haze season. Air inside stays fresh. 💨🌲,positive,positive,byd
V2L saved my camping trip 🙌 powered lights + blender 😆,positive,positive,byd
"The car ""hunts"" for the lane center too much when using ACC. Makes me feel car sick. 🤢🤖",negative,negative,byd
Finally an affordable EV that doesn't look like a toy. Very futuristic design! 🛸✨,positive,positive,byd
Customer service at the 4S center was top notch. Fast and professional. 🛠️🤝,positive,positive,byd
Charging speed at DC chargers is just 88kW. Tesla is 250kW. BYD is a bit behind here. 🔌⏳,negative,neutral,byd
"Fr fr, love the vibes in this EV 🛋️ the LED lights are so aesthetic ✨",positive,positive,byd
12V battery issue fixed by the latest OTA? I hope so. Tired of carrying a jump starter. 🔋🤞,neutral,negative,byd
Why is the charging port on the front right? It's the most inconvenient spot for most Malaysian chargers. 🔌🙄,negative,negative,byd
Why no frunk? There is so much empty space under the hood! Such a waste. 🎒🤔,negative,negative,byd
Why no physical volume knob? Swiping the screen or using the steering wheel is annoying. 🚫🔘,negative,negative,byd
"Seats firm yet comfy, perfect for road trips",positive,positive,byd
7kW AC charging is a joke in 2025. eMAS 7 has 11kW. BYD is stuck in 2022. 🔌😴,negative,negative,byd
2025 model still doesn't have 11kW AC charging? Even the cheaper rivals have it. BYD wake up! 😴🔌,negative,positive,byd
Atto 3 Ultra at RM123k is a threat to the entire petrol car industry. Why buy a Civic now? 🏎️❓,positive,negative,byd
"Steering light and accurate, no strain on city roads",positive,positive,byd
No ventilated seats in this weather is a crime. My back is always sweating after 1 hour. 🥵🪑,negative,negative,byd
"Cabin BYD quiet, Myvi engine noise annoying lah",positive,positive,byd
Charging speeds drop so much after 80%. Takes forever to top up that last bit. ⏳🔌,neutral,negative,byd
Cabin space enough for luggage or groceries,positive,positive,byd
"It’s a ""head-turner."" People still stop and look at the car in the parking lot. 👀✨",positive,negative,byd
My radio station keeps resetting to factory default every morning. Annoying. 📻🌀,negative,negative,byd
LOL range drops faster than my WiFi 😑 gotta charge way too often,negative,negative,byd
"Just an average commuter. Not as ""premium"" as a Volvo, but definitely better than a Japanese ICE car. 🤷‍♂️🚙",neutral,neutral,byd
"Every time I wash the car, water gets trapped in the door sills. Poor design. 🚿💧",negative,negative,byd
The key fob feels so cheap and light. Like a toy from a cereal box. 🔑🧸,negative,negative,byd
"Steering precise, makes highway driving safe and fun",positive,positive,byd
Rear wiper smears water instead of clearing it,negative,negative,byd
"Battery BYD consistent, Vios guzzle fuel faster",positive,positive,byd
My interior lights won't turn off. Had to disconnect the 12V battery to reset it. 💡😩,negative,negative,byd
"Why does the 2025 model still have the ""guitar strings""? They are just dust collectors at this point. 🎸🧹",negative,negative,byd
Finally an EV that fits a child seat easily without moving the front passenger. 👶🚙,positive,positive,byd
"Cabin quiet, can enjoy music or podcast freely",positive,positive,byd
"No ""One-Pedal Driving"" is a big miss. It’s the best part of driving an EV and BYD left it out. 🛑🦶",negative,neutral,byd
"25,000 BYD cars on Malaysian roads now. At least I know spare parts won't be an issue in the future. 🛠️🇲🇾",positive,positive,byd
"AC strong, no hot spots in cabin, everyone happy",positive,positive,byd
"Seats comfy af 😌 literally sink in, perfect for road trips",positive,positive,byd
"Cabin feels spacious, can fit all my friends without squish",positive,positive,byd
Dashboard glare on bright days affects visibility,negative,negative,byd
The 2025 Atto 3 Ultra is basically the perfect EV for Malaysia right now. 🇲🇾🏆,positive,positive,byd
PM2.5 filter in the BYD is certified medical grade. Essential for KL's bad air quality days. 💨🌲,positive,positive,byd
"Battery range BYD reliable, EMAS petrol guzzle woi",positive,positive,byd
"Atto 3 vs eMAS 7... Proton’s ""Aegis"" battery sounds safer, but BYD ""Blade"" is proven worldwide. 🔋🌍",neutral,positive,byd
Tire squeak noticeable when turning sharply,negative,negative,byd
The 360 camera is clear as day. Parking in tight spots is a breeze now. Best feature ever. 📸✅,positive,positive,byd
Rear seats cramped if >2 ppl 😬 sad face 😭,negative,negative,byd
"""Honestly, the Atto 3 is very worth it lah. Smooth ride, quiet, and battery last quite long for KL traffic.""",positive,positive,byd
Ground clearance is good for flash floods in KL. 175mm is enough to clear most puddles. 📐🌊,positive,positive,byd
Ambient lighting flickers 😭 small but annoying,negative,negative,byd
"Why is there no ""Auto-Wiper"" for the 2025 Ultra? Even a Myvi has this feature! 🌧️🤡",negative,negative,byd
"The ADAS ""Lane Keeping"" is way too aggressive. It fights you for control on every curve. 🤖🥊",negative,negative,byd
7.3s 0-100km/h is fast enough to make my stomach drop. So fun! 🏎️💥,positive,positive,byd
"Lane keep assist is a ""drongo."" It fights me on every curve. OFF. 🚫🤡",negative,negative,byd
"The 2025 Atto 3 Ultra is the best value-for-money EV in Malaysia, no contest. 💰🥇",positive,positive,byd
Sensors false alarm sometimes 😬 minor stress 😭,negative,negative,byd
Dashboard glare under bright sunlight reduces visibility,negative,negative,byd
21 BYD 3S centers in Malaysia now. Getting parts is much faster than it was in 2023. 🛠️🇲🇾,positive,positive,byd
Finally hit 60k km! Still feels as tight as day one. Blade battery is the GOAT for long-term peace of mind. 🔋🐐,positive,positive,byd
AC weak if car full 🥵 not ideal,negative,negative,byd
"Atto 3 vs Tesla Model 3... I chose Atto because the interior is more ""fun."" 🎢✨",positive,neutral,byd
Suspension is tuned for comfort. It swallows the potholes in PJ like they aren't even there. ☁️🛣️,positive,positive,byd
Ground clearance is 175mm. Just enough to survive a minor KL flash flood. 🌊🚗,positive,positive,byd
"Infotainment slow to load maps, minor frustration 😕",negative,negative,byd
"7.3s 0-100km/h is the perfect ""sleeper"" performance. Nobody expects a family SUV to be this quick. 🏎️💨",positive,positive,byd
Sideloaded Netflix and YouTube today. Watching movies while waiting for the wife at Jaya Grocer is peak. 🍿🎬,positive,positive,byd
"Steering heavy at low speeds, tiring in traffic",negative,negative,byd
Just drove from KL to Penang on a single charge with 10% left. Success! 🗺️🔋,positive,positive,byd
"Steering feels light, effortless in city traffic",positive,positive,byd
Why is the GPS map 2 years old? It doesn't even know the new DASH highway. 🗺️📉,negative,negative,byd
The lane departure warning vibration is too strong. Feels like my phone is ringing. 📳📢,negative,negative,byd
Best purchase of the year! Zero regrets moving away from petrol. 🍃🥳,positive,positive,byd
Some apps lag on touchscreen 😑 pls fix 😭,negative,negative,byd
It’s basically a silent Porsche. People really sleep on how good this car drives. 🏎️🤐,positive,positive,byd
Charging convenient anywhere with fast stations nearby,positive,positive,byd
"The ""Cosmos Black"" paint is so deep. Looks like a stealth fighter at night. 🌚🦾",positive,positive,byd
Overtaking is a breeze. The instant torque is really a game changer for safety. 🏎️💨,positive,positive,byd
Dashboard layout modern and appealing,positive,positive,byd
"The 360 camera is a ""W."" Clearer than the one in my husband's Mercedes. 📸💎",positive,positive,byd
"The ""Aussie Salute"" indicator sound was actually cute. Why did the OTA update remove it? 🐦🚫",negative,neutral,byd
The seatbelt warning is way too loud and aggressive. I'm just putting my bag down! 📢😫,negative,negative,byd
"Smooth acceleration, overtaking easy on highway",positive,positive,byd
AC vents weak on passenger side 😑,negative,negative,byd
6 years comprehensive warranty gives me enough time to decide if I want to keep it long-term. 🛡️🗓️,positive,positive,byd
"Not gonna lie, the V2L feature saved my weekend 🙌 could power my blender anywhere 😆",positive,positive,byd
Touchscreen interface quick and intuitive,positive,positive,byd
"Exterior paint sleek, still looks new after months",positive,positive,byd
Exterior pops 🔥 color & design = compliments everywhere,positive,positive,byd
"The ""High Beam Assist"" is stupid. It keeps blinding oncoming cars and stays on too long. 🔦😠",negative,negative,byd
Atto 3’s design is iconic now. The eMAS 7 looks like a generic SUV you’d find in a GTA game. 🚗🎨,positive,positive,byd
The app works most of the time now. Turning on the AC remotely is a lifesaver. 📱❄️,positive,positive,byd
"The 2025 ""Ski White"" has a nice pearl effect. Looks very expensive in person. ⚪️💎",positive,positive,byd
"Rear seat headroom small, taller adult feel cramped",negative,negative,byd
"""Driver assist not as smooth as advertised, feel like manual sometimes.""",negative,negative,byd
The wireless phone charger is positioned so badly. My phone slides off every time I take a corner. 📱🛝,negative,negative,byd
Navigation map is totally outdated. It doesn't know the new highway exists. Stick to Waze. 📍🗺️,negative,negative,byd
"88kW DC is fast enough. 40 minutes for a full ""refuel"" is basically one lunch break. 🔌🍱",positive,positive,byd
"Smooth braking, feels premium 🛑",positive,positive,byd
Front wheels spin easily if you floor it. Too much torque for the front tires to handle. 🛞🔥,negative,negative,byd
Tech in this car is insane 😱 feels like a gadget on wheels,positive,positive,byd
Best value for money. You get so many features that would cost RM300k in a Conti car. 💰✨,positive,positive,byd
0.88% interest rate from AmBank made the decision for me. The monthly installment is a joke. 💸✅,positive,positive,byd
The 12V battery issue is a ticking time bomb. Every owner should buy a jumper pack. 🔋💣,negative,negative,byd
"The ""Bye Bye BYD"" voice when you turn off the car is so cute. My daughter loves it. 👋🚙",positive,positive,byd
Cabin airflow = perfect 💨 AC hits everywhere nicely 😏,positive,positive,byd
"Fun acceleration, highway overtaking safe ⚡",positive,positive,byd
"BYD seats firm but comfy, Myvi seats hard af",positive,positive,byd
ADAS phantom braking happened while I was overtaking a lorry. The car behind almost hit me. Scariest moment of my life. 🚚🛑,negative,negative,byd
"Steering accurate, easy to control tight corners",positive,positive,byd
"Touchscreen smooth, switching apps fast",positive,positive,byd
"Low key obsessed with the driving feel 😎 smooth AF, honestly love it",positive,positive,byd
Car feels stiff on bumpy roads 😬 uncomfortable af,negative,negative,byd
"Does anyone know how to turn off the ""For your safety"" voice alert? She talks way too much. 🗣️🤫",neutral,neutral,byd
"Cabin feels roomy, passengers happy even with bags",positive,positive,byd
The white color shows all the dirt. Regret not getting the Boulder Grey. ⚪️🧼,neutral,negative,byd
V2L is the best feature. Powered my air fryer at the campsite. Everyone was jealous! 🍗⚡️,positive,positive,byd
Love that it’s eco-friendly 🌱 makes me feel like I’m saving the planet,positive,positive,byd
